Algorithm,Target Colors,Avg Time Taken (ms),Avg SSIM,Avg FPS,Samples
Octree-SOM,8,173.0281134998222,0.8996771000798747,5.785025175848998,10
K-Means,8,310.9151924996695,0.8918911645891642,3.216437408081884,10
SOM,8,692.4030473008315,0.8888022083754556,1.4456136589953856,10
Octree-K-Means,8,24.20074250039761,0.881149323161827,41.74589732357147,10
Median-Cut,8,128.67083600103797,0.8666979418302363,7.772534423831209,10
Octree-Euclidean,8,9.306518800076446,0.6402704949632179,108.00093707402854,10
Octree-Baseline,8,7.250885400071638,0.5176653463644639,139.58810438954333,10
Uniform,8,0.6800313996791374,0.1756471094250683,1470.9239475096833,10
Shader-Acerola,8,1.2771977999364026,0.0920592756438428,798.6256556703963,10
SOM,16,831.3653232999059,0.9360135087536513,1.2034078521818585,10
Octree-SOM,16,89.06387270035339,0.9339172230989208,11.238479418846792,10
K-Means,16,504.46521189987834,0.9319023839218359,1.9827805014589983,10
Median-Cut,16,128.54785609924875,0.9251620235462044,7.785746782081776,10
Octree-K-Means,16,25.911971700770664,0.9126616795111498,38.87548220898614,10
Octree-Euclidean,16,14.14078689958842,0.8086589804951722,71.18704754870197,10
Octree-Baseline,16,9.630064099928859,0.7468680399808681,104.02316955688363,10
Uniform,16,0.6707423002808355,0.4038549856577901,1491.244826786458,10
Shader-Acerola,16,1.309629799288814,0.20179573862472014,773.3324487573354,10
SOM,32,1198.0340746002184,0.9617667637414244,0.8349425073709187,10
Octree-SOM,32,43.81070180024835,0.9612025444909399,22.88795818770001,10
K-Means,32,891.6347032001795,0.9608240966344714,1.121545272290818,10
Median-Cut,32,128.37754349966417,0.946732234483879,7.790385003765626,10
Octree-K-Means,32,32.1469459002401,0.9318429288560225,31.407399880377433,10
Octree-Euclidean,32,16.260641400003806,0.8487212500474941,61.69167956188028,10
Octree-Baseline,32,9.68212360007783,0.8001948475025081,104.21992938545525,10
Uniform,32,0.6591486006072955,0.4038549856577901,1517.2515627466678,10
Shader-Acerola,32,1.1887074993865099,0.20179573862472014,853.9471085814627,10
SOM,64,1643.283806799809,0.9781397408721745,0.6086645998842649,10
K-Means,64,1721.1222318001091,0.977819997512442,0.5810202098082234,10
Octree-SOM,64,44.646067199937534,0.9739454530127286,22.933504981583983,10
Octree-K-Means,64,39.18750570010161,0.9604663857744123,25.684178405177136,10
Median-Cut,64,129.87204589953762,0.9567244115124705,7.701264676426976,10
Octree-Euclidean,64,27.89897279944853,0.9343297510797125,36.064962476799636,10
Octree-Baseline,64,13.839565300077084,0.8976864234339985,72.56653404139666,10
Uniform,64,0.7484897003450897,0.5619417608839096,1393.6623143354932,10
Shader-Acerola,64,1.2125136989197927,0.2853553018499395,829.0067605988457,10
SOM,128,2851.2011882998195,0.9867392866753132,0.35075099638922264,10
K-Means,128,3474.9425697002152,0.9864713507617434,0.2877884272140334,10
Octree-K-Means,128,56.986692299688,0.9807677817187741,17.803782238763894,10
Octree-SOM,128,47.4486021012126,0.9747277066962411,21.24281564596094,10
Median-Cut,128,132.0607455993013,0.965466689942463,7.575803523193106,10
Octree-Euclidean,128,42.82558339982643,0.9505364507697992,23.599194480583243,10
Octree-Baseline,128,11.622280300070997,0.92617505216351,86.10069518345452,10
Uniform,128,0.6613246005144902,0.6719747014739194,1513.3172498217673,10
Shader-Acerola,128,1.2437541998224333,0.348819058733286,806.0784543464089,10
SOM,256,4508.692993600198,0.9910627642022753,0.22183888254096215,10
K-Means,256,7092.740304799736,0.990373417086506,0.14099154862151342,10
Octree-K-Means,256,102.98818059964105,0.9869172561505939,9.72818717042432,10
Octree-SOM,256,74.43160699986038,0.9842341912866882,13.492557623220387,10
Octree-Euclidean,256,72.16644630025257,0.976598145210065,13.87866591357112,10
Median-Cut,256,133.15803999976197,0.9714271857440859,7.510772246848111,10
Octree-Baseline,256,17.4850678999519,0.9652524147413892,57.25497992172924,10
Uniform,256,0.6470105003245408,0.7468214634184793,1546.8784421001026,10
Shader-Acerola,256,1.2539754003228154,0.3897921207825778,800.0634303557908,10
