Resolution,Target Colors,Algorithm,Time Taken (ms),SSIM,Tradeoff Score,Rank,Resolution Normalized,Speed % Behind Best,Accuracy % Behind Best,Tradeoff % Behind Best,Speed Rank,Accuracy Rank,Tradeoff Rank
"(1280, 720)",8,Octree-K-Means,13.79954820004059,0.86663504669371,0.4603389710407677,1,1280x720,3970.008858524443,2.509616468286344,0.0,4.0,4.0,1.0
"(1280, 720)",8,Octree-Euclidean,5.673840300369193,0.6173075340213312,0.4787316199744519,2,1280x720,1573.430169567992,30.557218429656256,3.995457715018297,3.0,6.0,2.0
"(1280, 720)",8,Octree-Baseline,5.011084000034316,0.4908661083368544,0.6099963313039615,3,1280x720,1377.958261770467,44.7809947831562,32.510252157195715,2.0,7.0,3.0
"(1280, 720)",8,Median-Cut,54.36894779923023,0.852223389612362,0.7133346111270581,4,1280x720,15935.459709533765,4.1308271284694875,54.95855358808739,5.0,5.0,4.0
"(1280, 720)",8,Octree-SOM,82.4837056992692,0.8813559832506158,0.790178594924902,5,1280x720,24227.56551254057,0.8536140294812308,71.65146655700448,6.0,3.0,5.0
"(1280, 720)",8,K-Means,133.8306494999415,0.8889441351020979,0.8817604491759788,6,1280x720,39371.72190791287,0.0,91.54590522336854,7.0,1.0,6.0
"(1280, 720)",8,Uniform,0.339054500364,0.149315010094826,1.0,7,1280x720,0.0,83.20310532475962,117.23122805334675,1.0,8.0,7.0
"(1280, 720)",8,SOM,249.25303650088608,0.8814037008124332,1.000051966495579,8,1280x720,73414.1507436989,0.8482461374019442,117.24251679899899,8.0,2.0,8.0
"(1280, 720)",16,Octree-Euclidean,7.404548699196312,0.7983967952578453,0.4193636868963042,1,1280x720,2264.687622004277,14.644315465831461,0.0,3.0,6.0,1.0
"(1280, 720)",16,Octree-K-Means,15.220399199824897,0.8947787817823267,0.4710950271408415,2,1280x720,4760.726973636658,4.3402279677056015,12.335674704550389,4.0,5.0,2.0
"(1280, 720)",16,Octree-Baseline,7.097729499992056,0.7346470183744005,0.4871029878224293,3,1280x720,2166.7030463028145,21.459730904754444,16.152877095167977,2.0,7.0,3.0
"(1280, 720)",16,Octree-SOM,42.04532509975252,0.9293454007327272,0.6465818297413551,4,1280x720,13327.43006570029,0.6447504306366645,54.18164470240243,5.0,3.0,4.0
"(1280, 720)",16,Median-Cut,54.14424119990144,0.9220955714750052,0.6927727629538616,5,1280x720,17191.29244326771,1.419821351166669,65.19617329794295,6.0,4.0,5.0
"(1280, 720)",16,K-Means,219.7231255009683,0.931581682017297,0.9493399124570472,6,1280x720,70069.91531119605,0.4056721665590178,126.3762796161676,7.0,2.0,6.0
"(1280, 720)",16,SOM,289.18028919943026,0.9353762430881108,1.0,7,1280x720,92251.48260578416,0.0,138.4565071432304,8.0,1.0,7.0
"(1280, 720)",16,Uniform,0.3131300993118202,0.3646494097123744,1.0,7,1280x720,0.0,61.01575035640231,138.4565071432304,1.0,8.0,7.0
"(1280, 720)",32,Octree-Euclidean,9.389502100020763,0.8424915072903412,0.4062757417181933,1,1280x720,2878.9804483365283,12.231393991275493,0.0,3.0,6.0,1.0
"(1280, 720)",32,Octree-Baseline,6.390324699987104,0.7918269403569403,0.4095426274790072,2,1280x720,1927.4400215258997,17.50949872622074,0.8041055434414621,2.0,7.0,2.0
"(1280, 720)",32,Octree-K-Means,17.753758400431252,0.9353833442313064,0.4585315759611635,3,1280x720,5532.684097195968,2.5541604911773588,12.86215958205465,4.0,5.0,3.0
"(1280, 720)",32,Octree-SOM,21.586490599656827,0.9599007499408098,0.4886348925663638,4,1280x720,6748.684068608468,0.0,20.271737244232906,5.0,1.0,4.0
"(1280, 720)",32,Median-Cut,52.47307909994561,0.9438060247765634,0.6373141384042423,5,1280x720,16547.983571185145,1.6767072184534513,56.86738659535945,6.0,4.0,5.0
"(1280, 720)",32,K-Means,396.2365860996215,0.9589839346309524,0.981362863586826,6,1280x720,125612.84721303545,0.09551146927574077,141.55093765542435,7.0,3.0,6.0
"(1280, 720)",32,Uniform,0.3151918001094599,0.3646494097123744,1.0,7,1280x720,0.0,62.01175905583367,146.13824979332242,1.0,8.0,7.0
"(1280, 720)",32,SOM,441.7426532003447,0.9596567656199276,1.000000084002664,8,1280x720,140050.42683437074,0.02541766124228717,146.13827046959108,8.0,2.0,8.0
"(1280, 720)",64,Octree-Baseline,6.363215400051558,0.8906445909094352,0.3313521803916249,1,1280x720,1895.6730240952268,8.824114592854517,0.0,2.0,7.0,1.0
"(1280, 720)",64,Octree-Euclidean,13.59727890085196,0.9281515938854042,0.392467575669758,2,1280x720,4164.467096824914,4.984497488336384,18.44424117140284,3.0,6.0,2.0
"(1280, 720)",64,Octree-SOM,20.5309535991546,0.970840385188794,0.4382911091598792,3,1280x720,6339.051278454545,0.614417229865259,32.27349481807038,4.0,3.0,3.0
"(1280, 720)",64,Octree-K-Means,22.3103672000434,0.960714161981034,0.451978518745467,4,1280x720,6897.122551976602,1.6510455058593438,36.40426877869762,5.0,4.0,4.0
