Category,Algorithm,Average_Rank,Median_Rank,Worst_Rank,Wins,Comparisons,Average_Percentage_Behind_Best,Median_Percentage_Behind_Best,Worst_Percentage_Behind_Best
Speed,Uniform,1.0,1.0,1.0,24,24,0.0,0.0,0.0
Speed,Octree-Baseline,2.0,2.0,2.0,0,24,1706.4538540845542,1669.48055353254,2900.314424295796
Speed,Octree-Euclidean,3.0416666666666665,3.0,4.0,0,24,4556.86270713652,3253.174706839553,11529.93971168201
Speed,Octree-K-Means,4.291666666666667,4.0,6.0,0,24,6779.27735277127,5059.878566689069,20178.714931973056
Speed,Octree-SOM,5.0,5.0,7.0,0,24,16664.771167513292,11381.648924545309,84576.79764115412
Speed,Median-Cut,5.708333333333333,6.0,6.0,0,24,18569.801028928112,18315.975473373,20843.489142839066
Speed,K-Means,7.458333333333333,7.5,8.0,0,24,350523.7001508383,186758.4526074062,1128997.4045848874
Speed,SOM,7.5,7.5,8.0,0,24,275307.83896693494,200742.4050429123,717922.8579947227
Accuracy,SOM,1.5416666666666667,1.0,3.0,15,24,0.2282038326464999,0.0,1.590400415776886
Accuracy,K-Means,1.9166666666666667,2.0,3.0,5,24,0.14041523776092363,0.0651845110745918,0.8654144348032473
Accuracy,Octree-SOM,2.875,3.0,4.0,4,24,0.580544726099054,0.6295838302509618,1.281333909431252
Accuracy,Octree-K-Means,4.0,4.0,5.0,0,24,1.8753076379088605,1.8540277517650723,4.3402279677056015
Accuracy,Median-Cut,4.833333333333333,5.0,6.0,0,24,2.290315647834633,2.193496596295229,4.473922892003266
Accuracy,Octree-Euclidean,5.833333333333333,6.0,6.0,0,24,11.21372894377965,8.42098332468278,30.557218429656256
Accuracy,Octree-Baseline,7.0,7.0,7.0,0,24,16.750182732601626,12.859153883521035,44.7809947831562
Accuracy,Uniform,8.0,8.0,8.0,0,24,49.93847040944869,50.6454019504522,83.20310532475962
Tradeoff,Octree-Baseline,1.7916666666666667,1.0,3.0,14,24,7.187034658943728,0.0,32.510252157195715
Tradeoff,Octree-Euclidean,1.9583333333333333,2.0,3.0,5,24,17.182739471666604,11.8043777605364,51.362242479605115
Tradeoff,Octree-K-Means,2.625,3.0,5.0,5,24,21.936563003460567,14.388489092317357,74.5697265639942
Tradeoff,Octree-SOM,3.9583333333333335,4.0,6.0,0,24,47.450581396946006,45.92848159593912,103.40486511192685
Tradeoff,Median-Cut,4.708333333333333,5.0,5.0,0,24,63.164053347569116,62.965691425295056,77.19318961193126
Tradeoff,SOM,6.875,6.5,8.0,0,24,154.113774387906,146.574277222035,226.37074172370873
Tradeoff,K-Means,6.958333333333333,7.0,8.0,0,24,151.48465121387395,142.46616136282347,246.92035462114612
Tradeoff,Uniform,7.0,7.0,7.0,0,24,159.77677662983118,146.57426688390063,246.9191097461411
