Algorithm,Resolution,Target Colors,Avg_FPS,Sample_Count
K-Means,1920x1080,8,3.141993394542012,20
Median-Cut,1920x1080,8,9.770155927818035,20
Octree-Baseline,1920x1080,8,28.19067819125728,20
Octree-Euclidean,1920x1080,8,28.57412881631052,20
Octree-K-Means,1920x1080,8,27.1797729746797,20
Octree-SOM,1920x1080,8,4.81035444002954,20
SOM,1920x1080,8,1.3125892705724886,20
Uniform,1920x1080,8,29.035999855675055,20
K-Means,1920x1080,16,1.8453716495083008,20
Median-Cut,1920x1080,16,9.512553973374235,20
Octree-Baseline,1920x1080,16,28.359112976795036,20
Octree-Euclidean,1920x1080,16,28.792147718436713,20
Octree-K-Means,1920x1080,16,25.18959739133451,20
Octree-SOM,1920x1080,16,9.628382536553989,20
SOM,1920x1080,16,1.180664259691431,20
Uniform,1920x1080,16,28.898397948875907,20
K-Means,1920x1080,32,1.0512151638234015,20
Median-Cut,1920x1080,32,9.775775482323827,20
Octree-Baseline,1920x1080,32,28.079619977683876,20
Octree-Euclidean,1920x1080,32,29.07136593221162,20
Octree-K-Means,1920x1080,32,22.91917810935195,20
Octree-SOM,1920x1080,32,15.559190750649202,20
SOM,1920x1080,32,0.886630822400923,20
Uniform,1920x1080,32,28.614274439732117,20
K-Means,1920x1080,64,0.549988461922651,20
Median-Cut,1920x1080,64,9.685972456780565,20
Octree-Baseline,1920x1080,64,28.624845096943336,20
Octree-Euclidean,1920x1080,64,24.3151912378895,20
Octree-K-Means,1920x1080,64,18.46843514657848,20
Octree-SOM,1920x1080,64,15.863770486591317,20
SOM,1920x1080,64,0.6619725579260967,20
Uniform,1920x1080,64,28.821789943141397,20
K-Means,1920x1080,128,0.279328063106701,20
Median-Cut,1920x1080,128,9.616416420868752,20
Octree-Baseline,1920x1080,128,28.236511640254623,20
Octree-Euclidean,1920x1080,128,16.222396299408768,20
Octree-K-Means,1920x1080,128,14.199355500632558,20
Octree-SOM,1920x1080,128,14.929464904419333,20
SOM,1920x1080,128,0.4288934777870267,20
Uniform,1920x1080,128,28.99079410112774,20
K-Means,1920x1080,256,0.13826647976109024,20
Median-Cut,1920x1080,256,9.595592867791009,20
Octree-Baseline,1920x1080,256,28.99971685946254,20
Octree-Euclidean,1920x1080,256,10.943974470643893,20
Octree-K-Means,1920x1080,256,8.441580941309923,20
Octree-SOM,1920x1080,256,10.775768250981338,20
SOM,1920x1080,256,0.2741095219170215,20
Uniform,1920x1080,256,28.962645245861733,20
